window_id,media_id,system_id,room_id,session_id,zone_id,start_time,end_time,zone_config_id,activity_mean,activity_std,motion_pixel_ratio,frame_count,video_path,video_start_offset_sec,duration_seconds,has_audio,quality_status,selection_rank,warnings,activity_proxy_raw,source_activity_field
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,zone_A,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,default_zone,2.2174505282709001e-07,2.4199557128111266e-07,0.0,16,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",0.0,30.0,True,warning,1.0,mapping_override,2.2174505282709001e-07,activity_mean
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,zone_B,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,default_zone,2.063112769974396e-05,7.876181666497079e-06,0.0,16,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",0.0,30.0,True,warning,1.0,mapping_override,2.063112769974396e-05,activity_mean
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,zone_C,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,default_zone,2.73198565802583e-06,3.1720075897859942e-06,0.0,16,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",0.0,30.0,True,warning,1.0,mapping_override,2.73198565802583e-06,activity_mean
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,zone_D,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,default_zone,4.123798959578077e-05,1.1070781608121162e-05,0.0,16,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",0.0,30.0,True,warning,1.0,mapping_override,4.123798959578077e-05,activity_mean
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,zone_A,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,default_zone,3.537056386930063e-07,4.301973919000157e-07,0.0,15,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",10.0,30.0,True,warning,2.0,mapping_override,3.537056386930063e-07,activity_mean
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,zone_B,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,default_zone,1.893994164371785e-05,7.372347965588074e-06,0.0,15,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",10.0,30.0,True,warning,2.0,mapping_override,1.893994164371785e-05,activity_mean
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,zone_C,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,default_zone,1.4008197258460104e-06,1.3729456052300912e-06,0.0,15,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",10.0,30.0,True,warning,2.0,mapping_override,1.4008197258460104e-06,activity_mean
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,zone_D,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,default_zone,3.516203978506383e-05,1.2459695098939549e-05,0.0,15,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",10.0,30.0,True,warning,2.0,mapping_override,3.516203978506383e-05,activity_mean
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,zone_A,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,default_zone,7.595498340760644e-07,6.976575225119636e-07,0.0,14,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",20.0,30.0,True,warning,3.0,mapping_override,7.595498340760644e-07,activity_mean
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,zone_B,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,default_zone,2.5698875820775618e-05,8.534945244299943e-06,0.0,14,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",20.0,30.0,True,warning,3.0,mapping_override,2.5698875820775618e-05,activity_mean
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,zone_C,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,default_zone,2.391151357076079e-06,2.8460114206954364e-06,0.0,14,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",20.0,30.0,True,warning,3.0,mapping_override,2.391151357076079e-06,activity_mean
